BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
321;67.874054;0.402048;5.969920
322;68.660263;0.257920;5.590240
323;68.564957;0.252928;6.303744
324;68.146141;0.255456;5.733888
325;70.453957;0.253824;5.600512
326;67.806107;0.251360;5.664768
327;68.983459;0.250528;5.659104
328;67.957634;0.249664;5.705952
329;68.575478;0.247840;5.670048
330;67.940193;0.247872;6.144000
331;67.817230;0.245760;5.747168
332;70.027336;0.246304;5.760000
333;68.030090;0.247616;6.163456
334;68.169594;0.391936;5.832768
335;67.963043;0.246144;5.969920
336;67.923058;0.245760;5.514624
337;70.876678;0.248288;5.652480
338;67.862328;0.247456;5.617728
339;68.991280;0.246144;5.743744
340;67.869843;0.244992;5.553216
341;68.112473;0.246400;6.115328
342;68.054741;0.245728;6.318080
343;67.899307;0.245152;5.483520
344;73.572342;0.244384;6.114304
345;68.331047;0.245632;5.561344
346;68.549622;0.246016;5.583872
347;68.440186;0.245440;6.152608
348;68.060760;0.245536;5.455872
349;68.684311;0.243712;6.267904
350;67.807610;0.236544;5.589088
351;69.196327;0.230624;5.664768
352;67.834663;0.230656;5.827680
353;68.168991;0.247616;5.721312
354;68.888458;0.246752;6.403072
355;68.061661;0.242688;5.694752
356;69.132286;0.462336;6.346752
357;67.919151;0.243936;5.760288
358;68.487686;0.240448;6.118688
359;68.783531;0.240384;5.778624
360;67.809410;0.240672;6.115328
361;72.357697;0.239968;6.388736
362;68.153061;0.240064;5.771488
363;71.820732;0.239968;5.591040
364;68.018669;0.454688;5.990400
365;68.371330;0.239616;5.998592
366;68.027084;0.240448;6.172768
367;69.725174;0.239680;6.125664
368;68.779922;0.239616;5.871936
369;67.943802;0.242080;5.795392
370;70.341217;0.240448;5.752832
371;68.544205;0.238432;5.699648
372;69.495773;0.234304;5.669888
373;68.180420;0.233568;6.343680
374;69.373108;0.234400;5.835776
375;69.705032;0.234336;5.767168
376;67.862625;0.234496;5.517632
377;71.885674;0.234112;5.563392
378;68.198456;0.235552;5.642240
379;68.342468;0.236160;5.763072
380;68.119987;0.234432;6.552032
381;67.927567;0.234784;5.730304
382;69.125374;0.231424;5.736768
383;68.293762;0.229152;6.103040
384;69.431740;0.217472;5.658624
385;68.085709;0.266656;6.206464
386;67.847290;0.266624;5.718336
387;69.085983;0.264672;5.836096
388;67.913437;0.259200;5.881952
389;68.559242;0.259328;5.821440
390;68.225815;0.259264;5.779552
391;68.164780;0.258048;5.786624
392;75.417450;0.256736;6.301824
393;67.834969;0.258176;5.924192
394;69.107033;0.257024;5.886976
395;68.144035;0.256384;5.704704
396;68.052940;0.256256;5.740544
397;69.076965;0.254976;5.749760
398;68.257385;0.257472;5.831808
399;69.496681;0.255712;5.696896
400;67.797989;0.256000;5.702880
401;68.819908;0.257024;5.756960
402;68.017464;0.254944;5.657600
403;68.367722;0.255904;5.893312
404;68.349083;0.254496;5.929376
405;68.059555;0.254976;5.782528
406;68.363518;0.462976;6.023168
407;68.556534;0.254976;6.010944
408;68.289253;0.254688;6.012928
409;69.132889;0.254464;5.508096
410;67.799492;0.255296;5.613568
411;68.780220;0.254848;5.726560
412;68.087212;0.256288;5.745664
413;68.740234;0.255520;5.797888
414;68.365921;0.253472;5.716480
415;68.112770;0.250816;5.831744
416;68.323227;0.250880;5.608992
417;67.971764;0.262272;5.749760
418;68.750153;0.264096;6.128640
419;67.889687;0.261120;6.084736
420;68.091728;0.260544;5.614656
421;68.219505;0.260384;6.208512
422;67.870140;0.261440;6.022400
423;68.986168;0.260736;5.934176
424;67.813019;0.259648;5.874720
425;83.652054;0.260640;5.723264
426;75.129120;0.259744;6.436160
427;68.181320;0.244416;5.891072
428;67.948616;0.244480;5.960704
429;67.804604;0.467776;5.983232
430;69.107933;0.245760;6.040576
431;67.937790;0.244064;5.875712
432;68.969933;0.385536;6.144416
433;67.941399;0.246272;5.966368
434;67.884575;0.245472;5.677120
435;68.917320;0.244192;6.556672
436;67.809410;0.244064;5.631168
437;70.069427;0.243936;5.681568
438;68.111267;0.244736;5.910912
439;68.082100;0.243488;5.630176
440;68.579689;0.243136;5.985696
441;67.852104;0.243616;5.920160
442;74.501656;0.243712;5.786624
443;67.876160;0.244224;5.591040
444;68.916420;0.245440;5.521888
445;67.863831;0.244384;5.574656
446;67.868042;0.242720;5.727232
447;68.253174;0.240640;5.971968
448;67.807907;0.240608;5.701120
449;69.694809;0.252480;5.792768
450;67.968460;0.253952;6.044928
451;68.262497;0.251424;5.701632
452;68.046028;0.249920;6.001792
453;67.858116;0.251904;5.978112
454;68.723999;0.250624;5.788672
455;69.010826;0.250624;5.843296
456;68.994286;0.393312;5.862400
457;67.855110;0.248832;5.686720
458;67.780846;0.250432;5.445632
459;68.616966;0.247968;6.322368
460;67.791069;0.250272;5.592064
461;70.053192;0.249536;5.640672
462;73.908470;0.250240;7.023616
463;68.504524;0.250208;5.663264
464;67.933281;0.248928;5.782816
465;67.783257;0.250400;5.533824
466;68.981361;0.248576;5.530112
467;68.410721;0.251264;5.626880
468;69.089897;0.244960;5.707232
469;67.867439;0.244384;5.831744
470;68.519852;0.243584;5.782528
471;69.641891;0.244352;5.869920
472;68.244759;0.243328;5.618688
473;70.153008;0.243136;5.916672
474;68.188538;0.244288;5.815776
475;69.126877;0.486016;5.997664
476;67.997322;0.244736;6.108544
477;67.816628;0.243712;5.560320
478;69.066742;0.242304;5.891264
479;67.900810;0.241024;5.717184
480;68.450401;0.225472;5.670176
481;68.481071;0.241600;5.662720
482;68.613960;0.240896;5.804512
483;68.548119;0.401408;6.234560
484;68.537895;0.236032;6.064128
485;69.926910;0.235360;5.719232
486;68.646133;0.389216;6.266880
487;68.225815;0.236992;5.857664
488;68.322624;0.236000;5.740544
489;68.171097;0.234048;5.463072
490;70.131355;0.234496;5.653792
491;68.107658;0.234496;5.641216
492;74.447540;0.234976;5.694784
493;67.989799;0.232096;6.200736
494;68.135323;0.235392;5.916704
495;70.870667;0.231840;6.514688
496;68.965126;0.233312;5.580320
497;69.890839;0.235648;5.772288
498;68.176506;0.232416;5.627104
499;69.027657;0.233824;5.695488
500;68.159676;0.232800;5.608480
501;68.101944;0.231360;5.872640
502;71.101570;0.232384;5.724512
503;67.872551;0.234496;5.804160
504;68.920929;0.233504;5.805504
505;67.861725;0.232992;6.017024
506;67.804001;0.234496;5.856576
507;69.998169;0.234912;6.131808
508;68.198456;0.233600;5.644288
509;69.434746;0.231648;5.784960
510;69.130783;0.228352;6.731872
511;67.825043;0.226368;5.796928
512;68.555931;0.226784;5.814272
513;68.057755;0.278912;5.862400
514;69.147621;0.282752;6.161408
515;67.885475;0.279552;6.073536
516;68.628387;0.278400;5.910528
517;69.014130;0.276992;5.955584
518;68.438080;0.276480;5.797344
519;69.352066;0.277216;5.712896
520;68.263695;0.277664;5.694464
521;68.430565;0.276928;5.664864
522;67.825645;0.275648;5.816608
523;67.870140;0.275456;5.762048
524;68.553825;0.275488;5.611520
525;67.819031;0.276000;5.581056
526;70.541748;0.276064;5.740704
527;67.816925;0.274240;5.783744
528;69.186707;0.275104;5.800960
529;68.136826;0.277792;6.259712
530;67.889084;0.275488;5.812608
531;68.725800;0.275456;6.315008
532;69.368599;0.275456;5.674272
533;68.512337;0.274592;5.517312
534;67.774834;0.276896;5.652480
535;68.314209;0.275840;5.792224
536;69.409790;0.274432;5.875904
537;68.221909;0.275808;5.811264
538;68.819908;0.275520;5.768192
539;67.814224;0.275456;5.842080
540;70.314758;0.274784;5.774336
541;68.130211;0.423936;6.533120
542;67.851204;0.274784;6.088704
543;69.484055;0.272000;5.656576
544;69.871895;0.273408;6.118400
545;74.664917;0.283456;5.769408
546;68.354492;0.283584;5.925888
547;68.242355;0.434176;6.071296
548;67.980782;0.282976;6.388736
549;67.930275;0.265216;5.613888
550;68.549316;0.263520;5.857280
551;67.820236;0.264768;5.526016
552;68.671989;0.263488;5.660832
553;67.813919;0.264192;5.728480
554;68.111267;0.263520;5.588992
555;71.470169;0.262240;6.413664
556;69.722168;0.263136;6.066688
557;69.014427;0.262880;5.857376
558;67.808510;0.262144;5.986304
559;70.278381;0.262144;6.066368
560;67.897202;0.262080;6.539328
561;69.340637;0.264800;5.594112
562;76.789330;0.263232;5.777408
563;69.216171;0.263200;5.814528
564;68.931152;0.405344;5.857344
565;68.129906;0.261184;5.636096
566;68.457321;0.262624;5.581824
567;71.983086;0.262144;6.035552
568;67.947708;0.261248;5.624832
569;69.126877;0.262144;5.803200
570;67.845787;0.261600;5.466144
571;69.114250;0.262080;5.788672
572;67.934486;0.261632;5.873664
573;68.102547;0.260864;5.988864
574;71.800591;0.259744;5.938496
575;67.738457;0.259040;5.681344
576;69.378525;0.258080;5.536032
577;67.878258;0.265664;5.765472
578;68.065872;0.267008;5.712896
579;69.340042;0.266496;5.870880
580;67.849098;0.264736;5.776640
581;71.539917;0.264064;5.771616
582;67.917648;0.263040;5.941248
583;69.158447;0.265696;6.272096
584;67.963043;0.263840;5.917824
585;67.878563;0.264192;5.998592
586;67.901413;0.263488;5.772864
587;67.831657;0.262112;5.544320
588;69.515320;0.262560;5.559776
589;68.629898;0.264160;6.065312
590;68.194847;0.262656;5.696000
591;69.714050;0.262112;6.068224
592;67.866837;0.262656;5.626880
593;68.797958;0.264192;5.656704
594;71.277748;0.262848;5.884032
595;69.450676;0.263424;6.391808
596;68.883949;0.262816;5.514240
597;68.121490;0.262208;5.839872
598;67.940498;0.262528;5.977088
599;67.830460;0.263680;5.726208
600;69.296440;0.262144;5.777696
601;67.883369;0.262848;5.827584
602;69.257660;0.263488;5.575040
603;67.968758;0.256544;5.953760
604;67.789871;0.256416;5.843968
605;68.243553;0.255712;6.124704
606;67.840378;0.253952;6.043648
607;68.861397;0.253888;5.824512
608;67.991905;0.254272;6.116352
609;67.814819;0.267552;5.928960
610;70.116028;0.269312;5.957632
611;67.838875;0.268992;5.612928
612;68.522560;0.268096;5.675008
613;67.889687;0.266976;5.651648
614;70.500862;0.266272;5.716320
615;70.114220;0.266464;6.272416
616;68.096535;0.266688;5.750016
617;68.597427;0.266048;6.043648
618;68.237541;0.269184;5.812480
619;69.278107;0.260160;6.029312
620;68.152458;0.261440;6.329344
621;68.090523;0.259552;5.734400
622;69.075462;0.260352;5.661984
623;68.008446;0.260384;6.471200
624;69.049606;0.260640;5.700608
625;68.209282;0.262208;5.892576
626;68.333748;0.261088;5.890208
627;70.028839;0.259296;5.836800
628;68.328636;0.260096;5.431520
629;69.159348;0.259232;5.994496
630;67.843987;0.415808;6.218752
631;69.909477;0.259904;6.016000
632;68.500916;0.259200;6.139904
633;67.881264;0.260512;5.834944
634;68.440483;0.260576;5.570080
635;67.859016;0.260832;5.677056
636;68.831329;0.259808;5.633312
637;68.631096;0.258336;5.733376
638;69.036980;0.257408;5.755904
639;68.899879;0.256800;5.632000
640;67.859322;0.236544;5.752832
641;68.284744;0.248160;5.925888
642;67.856316;0.249856;5.945664
643;68.062263;0.251424;5.892608
644;68.867111;0.249856;6.644736
645;67.920952;0.247968;5.733376
646;68.599831;0.246048;5.767168
